impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
bbhash-cpp,build,1024,1.150000,1,3,1.389380,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,4,1.375280,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,5,1.423399,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,6,1.376260,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,0,0.033800,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,1,0.022611,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,2,0.018891,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,3,0.017991,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,4,0.017800,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,build,1024,1.150000,1,0,0.011100,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,1,0.009950,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,2,0.009790,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,3,0.009870,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,4,0.011750,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,5,0.009900,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,6,0.009820,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,0,0.024730,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,1,0.023150,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,2,0.014440,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,3,0.013220,4870315401550313391,11131921045574106320,0,multiplicative,mul64
