impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
better-mphf,build,512,1.150000,1,4,0.013180,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,5,0.017200,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,6,0.024740,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,0,0.025780,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,1,0.024490,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,2,0.015300,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,3,0.014340,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,4,0.014210,4870315401550313391,11131921045574106320,0,multiplicative,mul64
boomphf-rust,build,1024,1.150000,1,0,0.045520,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,1,0.036770,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,2,0.035250,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,3,0.040080,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,4,0.034700,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,5,0.034930,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,6,0.035880,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,1024,1.150000,1,0,0.073870,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,1024,1.150000,1,1,0.059120,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,1024,1.150000,1,2,0.038810,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,1024,1.150000,1,3,0.034820,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,1024,1.150000,1,4,0.034580,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,0,2.083849,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,1,2.025289,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,2,2.071199,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,3,2.357169,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,4,2.179489,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,5,2.194399,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,1024,1.150000,1,6,2.179629,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,0,0.084130,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,1,0.056530,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,2,0.047730,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,3,0.058380,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,1024,1.150000,1,4,0.044840,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,build,1024,1.150000,1,0,0.039210,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,1,0.035550,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,2,0.035260,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,3,0.035380,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,4,0.035280,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,5,0.034990,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,6,0.045960,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,1024,1.150000,1,0,0.061450,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,1024,1.150000,1,1,0.057760,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,1024,1.150000,1,2,0.035800,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,1024,1.150000,1,3,0.033120,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,1024,1.150000,1,4,0.032900,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,1024,1.150000,1,0,0.030160,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,1,0.027420,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,2,0.027020,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,3,0.026891,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,4,0.031760,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,5,0.027299,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,6,0.026890,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,1024,1.150000,1,0,0.062390,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,1024,1.150000,1,1,0.060910,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,1024,1.150000,1,2,0.038670,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,1024,1.150000,1,3,0.035430,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,1024,1.150000,1,4,0.047700,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,1024,1.150000,1,0,0.027790,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,1,0.024760,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,2,0.024270,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,3,0.024360,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,4,0.029090,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,5,0.024870,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,1024,1.150000,1,6,0.024480,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,0,0.071530,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,1,0.058360,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,2,0.036130,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,3,0.033600,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,1024,1.150000,1,4,0.032960,4870315401550313391,11131921045574106320,0,multiplicative,mul64
boomphf-rust,build,2048,1.150000,1,0,0.117500,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,1,0.115200,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,2,0.079791,4870315401550313391,11131921045574106320,0,multiplicative,na
